path,exists,tracked,git_status,category,state,function,recommended_action,seo_impact,delete_risk,size_bytes,incoming_count,incoming_from,outgoing_count,outgoing_to
.env.example,true,true,,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,1097,0,,0,
.gitignore,true,true,M,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,496,0,,0,
AGENTS.md,true,true,,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,4519,0,,0,
app/api/reserve/route.js,true,true,,backend,soporte,Ruta backend acoplada al servidor de reservas,se queda,medio,alto,42702,0,,0,
docs/architecture/ARQUITECTURA-OBJETIVO-SITIO.md,true,true,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,9761,0,,0,
docs/architecture/BACKLOG-EVOLUCION-SITIO.md,true,true,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,5922,0,,0,
docs/architecture/FLEET-CARD-MADRE.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,9367,0,,0,
docs/architecture/LOCATIONS-GBP-ALIGNMENT.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,4869,0,,0,
docs/architecture/LOCATIONS-MEASUREMENT-SETUP.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,5023,0,,0,
docs/architecture/LOCATIONS-SEO-ROADMAP.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,15123,0,,0,
docs/architecture/PRESTIGE-HOME-BLUEPRINT.md,true,true,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,11785,0,,0,
docs/architecture/SERVICES-IMPLEMENTATION-STATUS.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,7196,0,,0,
docs/architecture/SERVICES-MEASUREMENT-SETUP.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,4305,0,,0,
docs/architecture/SERVICES-SEO-ROADMAP.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,7204,0,,0,
docs/architecture/SITE-V2-CATEGORY-ASSET-SHORTLIST.md,true,true,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,4354,0,,0,
docs/architecture/VEHICLE-PDP-DECISIONS-ROADMAP.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,9518,0,,0,
docs/archive/3d-lab/media/models/ATTRIBUTION.md,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,613,0,,0,
docs/archive/3d-lab/media/models/blue-car.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,171228,0,,0,
docs/archive/3d-lab/media/models/car-hatchback.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,82232,0,,0,
docs/archive/3d-lab/media/models/convertible-poly.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,177436,0,,0,
docs/archive/3d-lab/media/models/cybertruck.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,1001352,0,,0,
docs/archive/3d-lab/media/models/delorean.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,266960,0,,0,
docs/archive/3d-lab/media/models/ferrari-f40.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,355752,0,,0,
docs/archive/3d-lab/media/models/ignition-car.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,1829316,0,,0,
docs/archive/3d-lab/media/models/mazda-rx7.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,1360144,0,,0,
docs/archive/3d-lab/media/models/range-rover.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,2181560,0,,0,
docs/archive/3d-lab/media/models/rolls-royce.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,434060,0,,0,
docs/archive/3d-lab/media/models/sports-car-quaternius.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,175100,0,,0,
docs/archive/3d-lab/media/models/stationwagon.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,84872,0,,0,
docs/archive/3d-lab/media/models/toyota-ae86.glb,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,829404,0,,0,
docs/archive/3d-lab/README.md,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,623,0,,0,
docs/archive/3d-lab/site-v2-3d.js,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,35073,0,,0,
docs/archive/3d-lab/vendor/three/BufferGeometryUtils.js,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,35551,1,docs/archive/3d-lab/vendor/three/GLTFLoader.js,1,docs/archive/3d-lab/vendor/three/three.module.js
docs/archive/3d-lab/vendor/three/GLTFLoader.js,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,114574,0,,3,docs/archive/3d-lab/vendor/three/BufferGeometryUtils.js | docs/archive/3d-lab/vendor/three/SkeletonUtils.js | docs/archive/3d-lab/vendor/three/three.module.js
docs/archive/3d-lab/vendor/three/SkeletonUtils.js,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,11074,1,docs/archive/3d-lab/vendor/three/GLTFLoader.js,1,docs/archive/3d-lab/vendor/three/three.module.js
docs/archive/3d-lab/vendor/three/three.core.js,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,1421746,1,docs/archive/3d-lab/vendor/three/three.module.js,0,
docs/archive/3d-lab/vendor/three/three.module.js,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,639046,3,docs/archive/3d-lab/vendor/three/BufferGeometryUtils.js | docs/archive/3d-lab/vendor/three/GLTFLoader.js | docs/archive/3d-lab/vendor/three/SkeletonUtils.js,1,docs/archive/3d-lab/vendor/three/three.core.js
docs/audit/AUDITORIA-INICIAL-2026-03-30.md,true,true,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,12510,0,,1,site/index.html
docs/audit/BACKLOG-AUDITORIA-CODIGO-FUNCIONAL-2026-04-18.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,1659,0,,0,
docs/audit/CHECKLIST-MANTENIMIENTO-2026-04-18.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,576,0,,0,
docs/audit/CHECKLIST-REMEDIACION-2026-03-30.md,true,true,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,6842,0,,0,
docs/audit/ESTRUCTURA-OBJETIVO-2026-04-18.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,1628,0,,0,
docs/audit/INVENTARIO-RELACIONAL-2026-04-18.csv,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,118167,0,,0,
docs/audit/INVENTARIO-RELACIONAL-2026-04-18.json,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,248630,0,,0,
docs/audit/INVENTARIO-RELACIONAL-RESUMEN-2026-04-18.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,5911,0,,0,
docs/audit/MANIFIESTO-LIMPIEZA-2026-04-18.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,1685,0,,0,
docs/previews/fleet-card-preview.css,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,11134,1,docs/previews/fleet-card-preview.html,0,
docs/previews/fleet-card-preview.html,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,11296,0,,7,docs/previews/fleet-card-preview.css | site/css/site-v2.css | site/images/fleet/lamborghini-huracan/01-exterior-front.png | site/images/fleet/rolls-royce-cullinan-black-badge/06-exterior-front-open-doors.png | site/lamborghini-huracan-evo-spyder-rental-dubai.html | site/porsche-992-gt3-rental-dubai.html | site/rolls-royce-cullinan-black-badge-rental-dubai.html
docs/previews/README.md,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,435,0,,0,
docs/previews/vehicle-template-base.html,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,32834,0,,35,site/about.html | site/css/seo-landing.css | site/css/site-v2.css | site/ferrari-rental-dubai.html | site/fleet.html | site/images/brands/ferrari-mark.png | site/images/brands/lamborghini-mark.png | site/images/brands/mercedes-mark.png | site/images/brands/porsche-mark.png | site/images/brands/rolls-royce-mark.png | site/images/categories/mock-fastpng/convertible-stage.png | site/images/categories/mock-fastpng/electric-stage.png | site/images/categories/mock-fastpng/luxury-stage.png | site/images/categories/mock-fastpng/sports-stage.png | site/images/categories/mock-fastpng/suv-stage.png | site/images/dp-crest-cropped.png | site/images/fleet/rolls-royce-cullinan-black-badge/01-exterior-rear.png | site/images/fleet/rolls-royce-cullinan-black-badge/02-exterior-front.png | site/images/fleet/rolls-royce-cullinan-black-badge/03-interior-front-seats.png | site/images/fleet/rolls-royce-cullinan-black-badge/04-interior-cockpit.png | site/images/fleet/rolls-royce-cullinan-black-badge/05-interior-rear-seats.png | site/images/fleet/rolls-royce-cullinan-black-badge/06-exterior-front-open-doors.png | site/index.html | site/js/seo-landing.js | site/js/site-v2.js | site/lamborghini-rental-dubai.html | site/locations.html | site/luxury-car-rental-dubai.html | site/media/hero-dubai-sunset.mp4 | site/media/hero-sports-road.mp4 | site/mercedes-rental-dubai.html | site/porsche-rental-dubai.html | site/rolls-royce-rental-dubai.html | site/services.html | site/supercar-rental-dubai.html
docs/previews/vehicle-template-premium.html,true,false,,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,33008,0,,33,site/about.html | site/css/seo-landing.css | site/css/site-v2.css | site/ferrari-rental-dubai.html | site/fleet.html | site/images/brands/ferrari-mark.png | site/images/brands/lamborghini-mark.png | site/images/brands/mercedes-mark.png | site/images/brands/porsche-mark.png | site/images/brands/rolls-royce-mark.png | site/images/categories/mock-fastpng/convertible-stage.png | site/images/categories/mock-fastpng/electric-stage.png | site/images/categories/mock-fastpng/luxury-stage.png | site/images/categories/mock-fastpng/sports-stage.png | site/images/categories/mock-fastpng/suv-stage.png | site/images/dp-crest-cropped.png | site/images/fleet/lamborghini-huracan/01-exterior-front.png | site/images/fleet/lamborghini-huracan/03-exterior-rear.png | site/images/fleet/lamborghini-huracan/04-interior-cockpit.png | site/images/fleet/lamborghini-huracan/05-seat-detail.png | site/images/fleet/lamborghini-huracan/06-steering-wheel-detail.png | site/index.html | site/js/seo-landing.js | site/js/site-v2.js | site/lamborghini-rental-dubai.html | site/locations.html | site/luxury-car-rental-dubai.html | site/media/hero-sports-road.mp4 | site/mercedes-rental-dubai.html | site/porsche-rental-dubai.html | site/rolls-royce-rental-dubai.html | site/services.html | site/supercar-rental-dubai.html
docs/README.md,true,true,M,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,5171,0,,0,
docs/vehicle-page-template.md,true,false,??,documentacion,soporte,Documentacion activa del proyecto,se queda,ninguno,medio,9341,0,,0,
netlify.toml,true,true,,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,686,0,,0,
package-lock.json,true,true,M,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,39562,0,,0,
package.json,true,true,M,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,1261,0,,0,
playwright.config.js,true,false,??,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,1099,0,,0,
Procfile,true,true,,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,46,0,,0,
railway.json,true,true,,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,264,0,,0,
README.md,true,true,,configuracion,soporte,Configuracion o metadata de proyecto,se queda,ninguno,medio,3136,0,,0,
scripts/audit-inventory.js,true,false,??,tooling,soporte,Script de soporte o automatizacion,se queda,ninguno,medio,17654,0,,0,
scripts/generate-icons.py,true,true,,tooling,soporte,Script de soporte o automatizacion,se queda,ninguno,medio,3637,0,,0,
server/audit-site.js,true,false,??,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,6510,0,,0,
server/backend-example.js,true,true,M,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,19964,0,,0,
server/data/fleet-cards.json,true,false,,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,7185,0,,0,
server/email-config.js,true,true,,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,3957,0,,0,
server/html-utils.js,true,false,??,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,464,0,,0,
server/render-fleet-cards.js,true,false,??,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,8387,0,,0,
